name,bib,flag,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Birtel Serge,6411,🇩🇪 (Germany),403,40-44,https://utmb.world/en/runner/1082071.serge.birtel,Serge BIRTEL
Lammer Sven,6106,🇩🇪 (Germany),397,45-49,https://utmb.world/en/runner/1479667.sven.lammer,Sven LAMMER
Ruetz Jürgen,6337,🇦🇹 (Austria),396,55-59,https://utmb.world/en/runner/442433.jurgen.ruetz,Jürgen RUETZ
Humbel Thomas,6382,🇨🇭 (Switzerland),395,55-59,https://utmb.world/en/runner/5059931.thomas.humbel,Thomas HUMBEL
Föhr Silas,6129,🇩🇪 (Germany),390,20-34,https://utmb.world/en/runner/3225413.silas.fohr,Silas FÖHR
Hemmerich Marc,6047,🇩🇪 (Germany),389,45-49,https://utmb.world/en/runner/4462076.marc.hemmerich,Marc HEMMERICH
Wörner Robin,6266,🇩🇪 (Germany),386,20-34,https://utmb.world/en/runner/5321098.patrick.worner,Patrick WÖRNER
Haug Roman,6259,🇩🇪 (Germany),385,50-54,https://utmb.world/en/runner/2279267.thomas.haug,Thomas HAUG
Magenheimer Timo,6221,🇩🇪 (Germany),384,55-59,https://utmb.world/en/runner/293465.markus.gegenheimer,Markus GEGENHEIMER
Sonntag Sebastian Vikas,6283,🇩🇪 (Germany),383,35-39,https://utmb.world/en/runner/5305426.sebastianvikas.sonntag,Sebastian Vikas SONNTAG
Klöppel Dominik,6317,🇩🇪 (Germany),382,20-34,https://utmb.world/en/runner/674745.dominik.kloppel,Dominik KLÖPPEL
Baur Thomas,6220,🇩🇪 (Germany),374,50-54,https://utmb.world/en/runner/4705216.thomas.baur,Thomas BAUR
Miles Richard,6073,🇬🇧 (United Kingdom),373,35-39,https://utmb.world/en/runner/5941084.richard.miles,Richard MILES
Logvenov Feodor,6116,🇩🇪 (Germany),370,35-39,https://utmb.world/en/runner/4046698.feodor.logvenov,Feodor LOGVENOV
Mayr Franz,6115,🇩🇪 (Germany),370,35-39,https://utmb.world/en/runner/5305436.franz.mayr,Franz MAYR
Escabias Domingo,6338,🇪🇸 (Spain),369,55-59,https://utmb.world/en/runner/5456324.domingo.escabiasgarcia,Domingo ESCABIAS GARCIA
Müller Maddin,6040,🇩🇪 (Germany),368,60-64,https://utmb.world/en/runner/4461056.maddin.muller,Maddin MÜLLER
Maier Marcus,6101,🇩🇪 (Germany),364,55-59,https://utmb.world/en/runner/5327516.marcus.maier,Marcus MAIER
Hackl David,6170,🇦🇹 (Austria),363,20-34,https://utmb.world/en/runner/5305446.david.hackl,David HACKL
Wittibschlager Daniel,6113,🇦🇹 (Austria),358,35-39,https://utmb.world/en/runner/5501144.daniel.wittibschlager,Daniel WITTIBSCHLAGER
