name,bib,flag,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Spörr Christoph,245,🇦🇹 (Austria),274,50-54,https://utmb.world/en/runner/4462104.gerd.sporr,Gerd SPÖRR
Altmanninger Christoph,23,🇦🇹 (Austria),0,,,
Bartoš Michal,30,🇨🇿 (Czech Republic),0,20-34,https://utmb.world/en/runner/1476121.michal.bartos,Michal BARTOŠ
Battaini Daniele,31,🇮🇹 (Italy),0,50-54,https://utmb.world/en/runner/3013815.daniele.battaini,Daniele BATTAINI
Brüning Felix,41,🇩🇪 (Germany),0,60-64,https://utmb.world/en/runner/66457.paul.bruning,Paul BRÜNING
Duckeck Paul,62,🇩🇪 (Germany),0,,,
Ebert Alexander,64,🇩🇪 (Germany),0,40-44,https://utmb.world/en/runner/5557780.alexander.ebert,Alexander EBERT
Endlicher Sven,69,🇬🇧 (United Kingdom),0,,,
Fussenegger Thomas,81,🇦🇹 (Austria),0,40-44,https://utmb.world/en/runner/5825981.thomas.fussenegger,Thomas FUSSENEGGER
Hartmann Dominik,99,🇩🇪 (Germany),0,35-39,https://utmb.world/en/runner/3175657.dominik.hartmann,Dominik HARTMANN
Holland-Moritz Denny,108,🇩🇪 (Germany),0,50-54,https://utmb.world/en/runner/299592.matthias.hollandmoritz,Matthias HOLLANDMORITZ
Hölzle Role,110,🇩🇪 (Germany),0,50-54,https://utmb.world/en/runner/351352.julian.holzle,Julian HÖLZLE
Klinger Mike,128,🇩🇪 (Germany),0,60-64,https://utmb.world/en/runner/1060167.mike.klinger,Mike KLINGER
Kompatscher Fabian,135,🇮🇹 (Italy),0,20-34,https://utmb.world/en/runner/3808387.fabian.kompatscher,Fabian KOMPATSCHER
König Florian,138,🇮🇹 (Italy),0,,,
Kübrich Ronny,144,🇩🇪 (Germany),0,40-44,https://utmb.world/en/runner/5287276.ronny.kubrich,Ronny KÜBRICH
Lacher Michael,145,🇩🇪 (Germany),0,65-69,https://utmb.world/en/runner/69227.michael.blacher,Michael BLACHER
Malgiaritta Remo,178,🇨🇭 (Switzerland),0,55-59,https://utmb.world/en/runner/4183040.remo.malgiaritta,Remo MALGIARITTA
Mrvecka Marcel,170,🇸🇰 (Slovakia),0,60-64,https://utmb.world/en/runner/653881.viliam.mrvecka,Viliam MRVECKA
Müller Günter,172,🇩🇪 (Germany),0,55-59,https://utmb.world/en/runner/45360.gunter.muller,Günter MÜLLER
Netzer Hans,176,🇦🇹 (Austria),0,65-69,https://utmb.world/en/runner/57270.johann.netzer,Johann NETZER
Nicolau Igor,288,🇺🇸 (United States),0,50-54,https://utmb.world/en/runner/352496.xavier.nicolau,Xavier NICOLAU
Nuti Marco,292,🇮🇹 (Italy),0,20-34,https://utmb.world/en/runner/1923489.marco.nuti,Marco NUTI
