name,bib,flag,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Fischer Jacob,4768,🇦🇹 (Austria),558,40-44,https://utmb.world/en/runner/561724.harald.fischer,Harald FISCHER
Mondini Andrea,4405,🇮🇹 (Italy),558,40-44,https://utmb.world/en/runner/269332.andrea.mondini,Andrea MONDINI
Riediger Steffen,4749,🇩🇪 (Germany),558,45-49,https://utmb.world/en/runner/4002624.steffen.riediger,Steffen RIEDIGER
Strandman Marcus,4607,🇸🇪 (Sweden),558,45-49,https://utmb.world/en/runner/4201778.marcus.strandman,Marcus STRANDMAN
Bell John,4473,🇨🇦 (Canada),557,20-34,https://utmb.world/en/runner/4461268.john.bell,John BELL
Blümer Nils,4297,🇩🇪 (Germany),556,50-54,https://utmb.world/en/runner/4015643.nils.blumer,Nils BLÜMER
Hölting Robert,4555,🇩🇪 (Germany),556,45-49,https://utmb.world/en/runner/3964373.robert.hoelting,Robert HOELTING
Aschenbrenner Florian,4295,🇩🇪 (Germany),555,40-44,https://utmb.world/en/runner/4277374.florian.aschenbrenner,Florian ASCHENBRENNER
Gonda Tomáš,4782,🇸🇰 (Slovakia),555,20-34,https://utmb.world/en/runner/4461366.tomas.gonda,Tomáš GONDA
Koprivnik Robert,4726,🇦🇹 (Austria),555,50-54,https://utmb.world/en/runner/4461272.robert.koprivnik,Robert KOPRIVNIK
Flückiger Michael Alexander,4304,🇨🇭 (Switzerland),549,35-39,https://utmb.world/en/runner/2201223.michaelalexander.fluckiger,Michael Alexander FLÜCKIGER
Jandík Tomáš,4286,🇨🇿 (Czechia),548,20-34,https://utmb.world/en/runner/5306510.tomas.jandik,Tomáš JANDÍK
Machmer Jonas,4652,🇩🇪 (Germany),547,20-34,https://utmb.world/en/runner/5306514.jonas.machmer,Jonas MACHMER
Gschliesser Martin,4442,🇦🇹 (Austria),545,40-44,https://utmb.world/en/runner/1393469.martin.gschliesser,Martin GSCHLIESSER
Weicht Bernhard,4253,🇦🇹 (Austria),541,40-44,https://utmb.world/en/runner/3034671.bernhard.weicht,Bernhard WEICHT
Dreger Klaas,4487,🇦🇹 (Austria),540,35-39,https://utmb.world/en/runner/5453276.benjamin.dreier,Benjamin DREIER
Dreher Jonas,4645,🇦🇹 (Austria),540,35-39,https://utmb.world/en/runner/5453276.benjamin.dreier,Benjamin DREIER
Schaden Florian,4866,🇦🇹 (Austria),540,20-34,https://utmb.world/en/runner/4015951.florian.schaden,Florian SCHADEN
Sierwald Moritz,4226,🇩🇪 (Germany),538,35-39,https://utmb.world/en/runner/1392971.moritz.sierwald,Moritz SIERWALD
van Oort André,4639,🇳🇱 (Netherlands),538,35-39,https://utmb.world/en/runner/5086844.rens.vanoort,Rens VAN OORT
Richter Jan,4446,🇩🇪 (Germany),537,20-34,https://utmb.world/en/runner/5068355.jan.richter,Jan RICHTER
Gangl Christian,4621,🇦🇹 (Austria),536,40-44,https://utmb.world/en/runner/4570220.christian.gangl,Christian GANGL
Graebe Eric,4327,🇩🇪 (Germany),536,40-44,https://utmb.world/en/runner/4226499.eric.graebe,Eric GRAEBE
Hirschhuber Georg,4778,🇦🇹 (Austria),536,20-34,https://utmb.world/en/runner/4015857.georg.hirschhuber,Georg HIRSCHHUBER
Knoflach Matthias,4777,🇦🇹 (Austria),536,20-34,https://utmb.world/en/runner/4015858.mathias.knoflach,Mathias KNOFLACH
Bichler Werner,4830,🇦🇹 (Austria),535,40-44,https://utmb.world/en/runner/4668476.werner.bichler,Werner BICHLER
Althaus Stefan,4325,🇩🇪 (Germany),534,35-39,https://utmb.world/en/runner/5501164.stefan.althaus,Stefan ALTHAUS
Haider Gerhard,4246,🇦🇹 (Austria),534,40-44,https://utmb.world/en/runner/5305252.gerhard.haider,Gerhard HAIDER
Burmester Hannes,4269,🇩🇪 (Germany),532,35-39,https://utmb.world/en/runner/5259957.hannes.burmester,Hannes BURMESTER
Lehner Christopher,4871,🇦🇹 (Austria),532,20-34,https://utmb.world/en/runner/3739713.arvin.lehner,Arvin LEHNER
Schimek Adrian,4574,🇩🇪 (Germany),531,20-34,https://utmb.world/en/runner/4461960.adrian.schimek,Adrian SCHIMEK
Schich Maximilian,4407,🇩🇪 (Germany),530,20-34,https://utmb.world/en/runner/4218724.maximilian.schich,Maximilian SCHICH
Hernegger Thomas,4720,🇦🇹 (Austria),529,50-54,https://utmb.world/en/runner/4015967.thomas.hernegger,Thomas HERNEGGER
Gspandl Karl,4775,🇦🇹 (Austria),527,35-39,https://utmb.world/en/runner/1554407.karl.gspandl,Karl GSPANDL
Lampl Dietmar,4875,🇦🇹 (Austria),527,45-49,https://utmb.world/en/runner/267373.wolfgang.lampl,Wolfgang LAMPL
Neubauer Frans,4601,🇩🇪 (Germany),527,20-34,https://utmb.world/en/runner/5306528.frans.neubauer,Frans NEUBAUER
Frei Roger,4842,🇨🇭 (Switzerland),525,40-44,https://utmb.world/en/runner/3298931.roger.frei,Roger FREI
Verheul Nelson,4429,🇳🇱 (Netherlands),525,50-54,https://utmb.world/en/runner/5308260.nelson.verheul,Nelson VERHEUL
Lindner Dominik,4376,🇩🇪 (Germany),524,20-34,https://utmb.world/en/runner/4001827.dominik.lindner,Dominik LINDNER
Himmler Marcus,4626,🇩🇪 (Germany),522,20-34,https://utmb.world/en/runner/5493034.timo.immler,Timo IMMLER
